%5p 2021-03-27 16:08:25 - : com.Lesson6.Server.Auth.Controllers.TextFileController  - FileWriter has already created
%5p 2021-03-27 16:08:25 - : com.Lesson6.Server.Server  - Text file controller has successful created
%5p 2021-03-27 16:08:25 - : com.Lesson6.Server.Server  - Service of authentication has successful created
%5p 2021-03-27 16:08:25 - : com.Lesson6.Server.Server  - Data base controller has successful created
%5p 2021-03-27 16:08:25 - : com.Lesson6.Server.Server  - Server was started
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Connection to database successful
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Server  - ------------------------- List of registered users
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Marfa
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Kuropatka
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Vasya
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Grisha
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Murka
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Server  - -------------------------
%5p 2021-03-27 16:08:26 - : com.Lesson6.Server.Server  - Server waiting for new connection
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.TextFileController  - FileWriter has already created
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - Text file controller has successful created
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - Service of authentication has successful created
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - Data base controller has successful created
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - Server was started
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Connection to database successful
 INFO-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - ------------------------- List of registered users
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Marfa
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Kuropatka
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Vasya
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Grisha
DEBUG-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Auth.Controllers.DataBaseController  - Murka
 INFO-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - -------------------------
 INFO-2021-03-27 16:09:05 [main]: com.Lesson6.Server.Server  - Server waiting for new connection
DEBUG-2021-03-27 16:09:35 : com.Lesson6.Server.Auth.Controllers.TextFileController  - FileWriter has already created
DEBUG-2021-03-27 16:09:35 : com.Lesson6.Server.Server  - Text file controller has successful created
DEBUG-2021-03-27 16:09:35 : com.Lesson6.Server.Server  - Service of authentication has successful created
DEBUG-2021-03-27 16:09:35 : com.Lesson6.Server.Server  - Data base controller has successful created
DEBUG-2021-03-27 16:09:35 : com.Lesson6.Server.Server  - Server was started
DEBUG-2021-03-27 16:09:36 : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Connection to database successful
 INFO-2021-03-27 16:09:36 : com.Lesson6.Server.Server  - ------------------------- List of registered users
DEBUG-2021-03-27 16:09:36 : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Marfa
DEBUG-2021-03-27 16:09:36 : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Kuropatka
DEBUG-2021-03-27 16:09:36 : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Vasya
DEBUG-2021-03-27 16:09:36 : com.Lesson6.Server.Auth.Controllers.DataBaseController  - Grisha
